Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
alta floresta d'oeste,2671.0,2430.0,0.909771621115687,MU,1100015,34.0,2407.27,alta floresta d'oeste,11.0
alta floresta d'oeste,2671.0,2430.0,0.909771621115687,MU,1100015,101.82,2407.27,alta floresta d'oeste,11.0
ariquemes,11780.0,10102.0,0.8575551782682512,MU,1100023,34.61,2420.52,ariquemes,11.0
ariquemes,11780.0,10102.0,0.8575551782682512,MU,1100023,32.0,2420.52,ariquemes,11.0
ariquemes,11780.0,10102.0,0.8575551782682512,MU,1100023,98.25,2420.52,ariquemes,11.0
cabixi,697.0,646.0,0.926829268292683,MU,1100031,64.14,2049.235,cabixi,11.0
cabixi,697.0,646.0,0.926829268292683,MU,1100031,38.0,2049.235,cabixi,11.0
cabixi,697.0,646.0,0.926829268292683,MU,1100031,102.15,2049.235,cabixi,11.0
cacoal,11166.0,9784.0,0.876231416801003,MU,1100049,43.5,2777.86,cacoal,11.0
cacoal,11166.0,9784.0,0.876231416801003,MU,1100049,33.0,2777.86,cacoal,11.0
cacoal,11166.0,9784.0,0.876231416801003,MU,1100049,95.93,2777.86,cacoal,11.0
cerejeiras,2022.0,1882.0,0.9307616221562808,MU,1100056,47.01,2651.3100000000004,cerejeiras,11.0
cerejeiras,2022.0,1882.0,0.9307616221562808,MU,1100056,34.0,2651.3100000000004,cerejeiras,11.0
cerejeiras,2022.0,1882.0,0.9307616221562808,MU,1100056,98.03,2651.3100000000004,cerejeiras,11.0
colorado do oeste,2142.0,2019.0,0.9425770308123248,MU,1100064,60.62,2798.7650000000003,colorado do oeste,11.0
colorado do oeste,2142.0,2019.0,0.9425770308123248,MU,1100064,36.0,2798.7650000000003,colorado do oeste,11.0
colorado do oeste,2142.0,2019.0,0.9425770308123248,MU,1100064,99.22,2798.7650000000003,colorado do oeste,11.0
corumbiara,1001.0,937.0,0.936063936063936,MU,1100072,45.2,2153.195,corumbiara,11.0
corumbiara,1001.0,937.0,0.936063936063936,MU,1100072,35.0,2153.195,corumbiara,11.0
corumbiara,1001.0,937.0,0.936063936063936,MU,1100072,108.63,2153.195,corumbiara,11.0
costa marques,1238.0,1102.0,0.8901453957996769,MU,1100080,27.42,3093.9,costa marques,11.0
costa marques,1238.0,1102.0,0.8901453957996769,MU,1100080,30.0,3093.9,costa marques,11.0
costa marques,1238.0,1102.0,0.8901453957996769,MU,1100080,107.41,3093.9,costa marques,11.0
espigão d'oeste,3673.0,3318.0,0.9033487612306016,MU,1100098,41.06,2978.26,espigão d'oeste,11.0
espigão d'oeste,3673.0,3318.0,0.9033487612306016,MU,1100098,33.0,2978.26,espigão d'oeste,11.0
espigão d'oeste,3673.0,3318.0,0.9033487612306016,MU,1100098,100.72,2978.26,espigão d'oeste,11.0
guajará-mirim,3372.0,2664.0,0.7900355871886121,MU,1100106,26.54,2790.045,guajará-mirim,11.0
guajará-mirim,3372.0,2664.0,0.7900355871886121,MU,1100106,29.0,2790.045,guajará-mirim,11.0
guajará-mirim,3372.0,2664.0,0.7900355871886121,MU,1100106,100.36,2790.045,guajará-mirim,11.0
jaru,6809.0,6164.0,0.905272433543839,MU,1100114,44.25,3142.085,jaru,11.0
jaru,6809.0,6164.0,0.905272433543839,MU,1100114,33.0,3142.085,jaru,11.0
jaru,6809.0,6164.0,0.905272433543839,MU,1100114,97.37,3142.085,jaru,11.0
ji-paraná,15392.0,13504.0,0.8773388773388774,MU,1100122,39.06,3133.74,ji-paraná,11.0
ji-paraná,15392.0,13504.0,0.8773388773388774,MU,1100122,32.0,3133.74,ji-paraná,11.0
ji-paraná,15392.0,13504.0,0.8773388773388774,MU,1100122,96.81,3133.74,ji-paraná,11.0
machadinho d'oeste,3630.0,3275.0,0.9022038567493113,MU,1100130,33.76,1623.85,machadinho d'oeste,11.0
machadinho d'oeste,3630.0,3275.0,0.9022038567493113,MU,1100130,32.0,1623.85,machadinho d'oeste,11.0
machadinho d'oeste,3630.0,3275.0,0.9022038567493113,MU,1100130,109.0,1623.85,machadinho d'oeste,11.0
nova brasilândia d'oeste,2232.0,2086.0,0.9345878136200716,MU,1100148,52.23,2154.035,nova brasilândia d'oeste,11.0
nova brasilândia d'oeste,2232.0,2086.0,0.9345878136200716,MU,1100148,35.0,2154.035,nova brasilândia d'oeste,11.0
nova brasilândia d'oeste,2232.0,2086.0,0.9345878136200716,MU,1100148,104.5,2154.035,nova brasilândia d'oeste,11.0
ouro preto do oeste,4633.0,4106.0,0.886250809410749,MU,1100155,52.66,2523.475,ouro preto do oeste,11.0
ouro preto do oeste,4633.0,4106.0,0.886250809410749,MU,1100155,35.0,2523.475,ouro preto do oeste,11.0
ouro preto do oeste,4633.0,4106.0,0.886250809410749,MU,1100155,96.73,2523.475,ouro preto do oeste,11.0
pimenta bueno,4446.0,3858.0,0.8677462887989204,MU,1100189,39.64,2568.665,pimenta bueno,11.0
pimenta bueno,4446.0,3858.0,0.8677462887989204,MU,1100189,33.0,2568.665,pimenta bueno,11.0
pimenta bueno,4446.0,3858.0,0.8677462887989204,MU,1100189,100.41,2568.665,pimenta bueno,11.0
porto velho,48102.0,36784.0,0.7647083281360443,MU,1100205,29.54,3691.93,porto velho,11.0
porto velho,48102.0,36784.0,0.7647083281360443,MU,1100205,31.0,3691.93,porto velho,11.0
porto velho,48102.0,36784.0,0.7647083281360443,MU,1100205,96.76,3691.93,porto velho,11.0
presidente médici,2765.0,2416.0,0.8737793851717902,MU,1100254,61.91,3188.125,presidente médici,11.0
presidente médici,2765.0,2416.0,0.8737793851717902,MU,1100254,61.91,3188.125,presidente médici,21.0
presidente médici,2765.0,2416.0,0.8737793851717902,MU,1100254,37.0,3188.125,presidente médici,11.0
presidente médici,2765.0,2416.0,0.8737793851717902,MU,1100254,37.0,3188.125,presidente médici,21.0
presidente médici,2765.0,2416.0,0.8737793851717902,MU,1100254,99.8,3188.125,presidente médici,11.0
presidente médici,2765.0,2416.0,0.8737793851717902,MU,1100254,99.8,3188.125,presidente médici,21.0
rio crespo,451.0,391.0,0.8669623059866962,MU,1100262,41.87,1675.435,rio crespo,11.0
